Date,TVL,Chain Fees,DEXs Volume,Token Price,Token Mcap,Token Volume,Active Addresses,Transactions
01 Jan 2026,$67.982b,"$233,867",$1.032b,"$2,967",$358.047b,$16.641b,"697,632",1.94m TXs
02 Jan 2026,$69.291b,"$411,682",$1.46b,"$3,000",$362.1b,$10.248b,"679,406",1.97m TXs
03 Jan 2026,$72.023b,"$280,119",$1.068b,"$3,122",$376.771b,$25.947b,"659,613",2.02m TXs
04 Jan 2026,$72.317b,"$292,166",$816.8m,"$3,126",$377.099b,$12.644b,"637,376",1.73m TXs
05 Jan 2026,$72.65b,"$475,818",$1.724b,"$3,139",$378.922b,$14.2b,"772,959",2.08m TXs
06 Jan 2026,$74.324b,"$586,276",$2.077b,"$3,228",$389.933b,$29.465b,"701,375",2.01m TXs
07 Jan 2026,$74.984b,"$407,234",$1.834b,"$3,295",$397.608b,$28.511b,"668,406",2.01m TXs
08 Jan 2026,$72.827b,"$396,598",$1.507b,"$3,165",$381.974b,$22.954b,"704,527",2.06m TXs
09 Jan 2026,$71.193b,"$340,289",$1.229b,"$3,104",$374.638b,$21.61b,"760,961",2.08m TXs
10 Jan 2026,$70.943b,"$205,248",$650.49m,"$3,083",$372.149b,$19.575b,"645,643",1.88m TXs
11 Jan 2026,$71.204b,"$241,900",$794.23m,"$3,083",$372.187b,$5.879b,"645,596",1.83m TXs
12 Jan 2026,$71.744b,"$336,854",$1.445b,"$3,119",$376.489b,$10.977b,"795,968",2.15m TXs
13 Jan 2026,$71.378b,"$466,789",$2.062b,"$3,090",$373.05b,$21.436b,"895,050",2.37m TXs
14 Jan 2026,$75.035b,"$487,975",$2.886b,"$3,320",$400.762b,$35.29b,"904,561",2.62m TXs
15 Jan 2026,$75.525b,"$459,905",$2.075b,"$3,356",$405.103b,$34.01b,"980,428",2.78m TXs
16 Jan 2026,$74.799b,"$312,809",$1.763b,"$3,318",$400.452b,$29.778b,1.07m,2.75m TXs
17 Jan 2026,$74.877b,"$240,417",$881.23m,"$3,296",$397.812b,$24.378b,"786,235",2.4m TXs
18 Jan 2026,$75.172b,"$333,264",$905.55m,"$3,307",$399.283b,$11.391b,"599,472",1.96m TXs
19 Jan 2026,$73.742b,"$371,464",$1.819b,"$3,284",$396.4b,$14.974b,"868,354",2.49m TXs
20 Jan 2026,$73.505b,"$560,306",$2.961b,"$3,186",$384.41b,$29.82b,"814,687",2.29m TXs
21 Jan 2026,$68.679b,"$558,323",$2.563b,"$2,936",$354.1b,$34.751b,"999,335",2.47m TXs
22 Jan 2026,$69.397b,"$406,178",$1.649b,"$2,976",$359.041b,$37.121b,"887,095",2.43m TXs
23 Jan 2026,$69.226b,"$361,892",$1.492b,"$2,948",$355.854b,$22.312b,1.09m,2.52m TXs
24 Jan 2026,$69.071b,"$273,249",$976.82m,"$2,951",$356.102b,$22.826b,"845,371",2.27m TXs
25 Jan 2026,$69.769b,"$370,074",$1.564b,"$2,949",$356.008b,$9.411b,"682,357",2.2m TXs
26 Jan 2026,$67.447b,"$447,961",$1.765b,"$2,814",$339.891b,$23.389b,"757,159",2.35m TXs
27 Jan 2026,$69.346b,"$344,850",$1.813b,"$2,928",$353.726b,$31.319b,"845,148",2.47m TXs
28 Jan 2026,$70.72b,"$383,541",$1.742b,"$3,021",$364.797b,$28.729b,1.1m,2.72m TXs
29 Jan 2026,$70.927b,"$747,286",$1.982b,"$3,007",$362.996b,$23.452b,1.15m,2.62m TXs
30 Jan 2026,$67.622b,"$858,603",$2.551b,"$2,819",$340.224b,$37.821b,"825,388",2.25m TXs
31 Jan 2026,$65.84b,$1.68m,$3.729b,"$2,702",$326.26b,$41.803b,"740,446",2.06m TXs